2025-08-23 14:40:18,151 - INFO - ========= Initializing RKLLM model =========
2025-08-23 14:40:24,918 - INFO - RKLLM Model has been initialized successfully!
2025-08-23 14:40:24,918 - INFO - Simple RKLLM Streaming Server with Jinja2 Template starting...
2025-08-23 14:40:24,918 - INFO - Server starting on port 8080
2025-08-23 14:40:24,926 - INFO - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.0.0.17:8080
2025-08-23 14:40:24,926 - INFO - [33mPress CTRL+C to quit[0m
2025-08-23 14:40:56,978 - INFO - Health check request from 10.0.0.61
2025-08-23 14:50:50,037 - INFO - [20250823_145036_101] Streaming chunk 230, content: 't'...
2025-08-23 14:50:50,537 - INFO - [20250823_145036_101] Streaming chunk 240, content: 't'...
2025-08-23 14:50:51,030 - INFO - [20250823_145036_101] Streaming chunk 250, content: ' '...
2025-08-23 14:50:51,529 - INFO - [20250823_145036_101] Streaming chunk 260, content: 't'...
2025-08-23 14:50:51,785 - INFO - [20250823_145036_101] Streaming chunk 270, content: 'u'...
2025-08-23 14:50:52,028 - INFO - [20250823_145036_101] Streaming chunk 280, content: '\n'...
2025-08-23 14:50:53,026 - INFO - [20250823_145036_101] Streaming chunk 290, content: 'l'...
2025-08-23 14:50:53,782 - INFO - [20250823_145036_101] Streaming chunk 300, content: 'a'...
2025-08-23 14:50:54,036 - INFO - [20250823_145036_101] Streaming chunk 310, content: 'd'...
2025-08-23 14:50:54,526 - INFO - [20250823_145036_101] Streaming chunk 320, content: 'o'...
2025-08-23 14:50:55,028 - INFO - [20250823_145036_101] Streaming chunk 330, content: 'o'...
2025-08-23 14:50:55,772 - INFO - [20250823_145036_101] Streaming chunk 340, content: 'h'...
2025-08-23 14:50:56,271 - INFO - [20250823_145036_101] Streaming chunk 350, content: 'n'...
2025-08-23 14:50:56,768 - INFO - [20250823_145036_101] Streaming chunk 360, content: ' '...
2025-08-23 14:50:57,017 - INFO - [20250823_145036_101] Streaming chunk 370, content: 'r'...
2025-08-23 14:50:57,266 - INFO - [20250823_145036_101] Streaming chunk 380, content: 'c'...
2025-08-23 14:50:57,766 - INFO - [20250823_145036_101] Streaming chunk 390, content: ' '...
2025-08-23 14:50:58,266 - INFO - [20250823_145036_101] Streaming chunk 400, content: 'u'...
2025-08-23 14:50:59,273 - INFO - [20250823_145036_101] Streaming chunk 410, content: 'n'...
2025-08-23 14:50:59,773 - INFO - [20250823_145036_101] Streaming chunk 420, content: 'n'...
2025-08-23 14:51:00,027 - INFO - [20250823_145036_101] Streaming chunk 430, content: 'o'...
2025-08-23 14:51:00,527 - INFO - [20250823_145036_101] Streaming chunk 440, content: 'd'...
2025-08-23 14:51:00,776 - INFO - [20250823_145036_101] Streaming chunk 450, content: 'n'...
2025-08-23 14:51:01,019 - INFO - [20250823_145036_101] Streaming chunk 460, content: ' '...
2025-08-23 14:51:01,277 - INFO - [20250823_145036_101] Streaming chunk 470, content: 'a'...
2025-08-23 14:51:01,526 - INFO - [20250823_145036_101] Streaming chunk 480, content: 'c'...
2025-08-23 14:51:02,272 - INFO - [20250823_145036_101] Streaming chunk 490, content: ' '...
2025-08-23 14:51:02,777 - INFO - [20250823_145036_101] Streaming chunk 500, content: 'e'...
2025-08-23 14:51:03,279 - INFO - [20250823_145036_101] Streaming chunk 510, content: 'v'...
2025-08-23 14:51:04,292 - INFO - [20250823_145036_101] Streaming chunk 520, content: ' '...
2025-08-23 14:51:05,037 - INFO - [20250823_145036_101] Streaming chunk 530, content: ' '...
2025-08-23 14:51:05,538 - INFO - [20250823_145036_101] Streaming chunk 540, content: ' '...
2025-08-23 14:51:05,796 - INFO - [20250823_145036_101] Streaming chunk 550, content: 'e'...
2025-08-23 14:51:06,050 - INFO - [20250823_145036_101] Streaming chunk 560, content: 'e'...
2025-08-23 14:51:07,291 - INFO - [20250823_145036_101] Streaming chunk 570, content: ':'...
2025-08-23 14:51:08,296 - INFO - [20250823_145036_101] Streaming chunk 580, content: 'a'...
2025-08-23 14:51:09,051 - INFO - [20250823_145036_101] Streaming chunk 590, content: 't'...
2025-08-23 14:51:09,309 - INFO - [20250823_145036_101] Streaming chunk 600, content: 'e'...
2025-08-23 14:51:09,557 - INFO - [20250823_145036_101] Streaming chunk 610, content: 'l'...
2025-08-23 14:51:10,307 - INFO - [20250823_145036_101] Streaming chunk 620, content: 'l'...
2025-08-23 14:51:11,058 - INFO - [20250823_145036_101] Streaming chunk 630, content: 'r'...
2025-08-23 14:51:11,315 - INFO - [20250823_145036_101] Streaming chunk 640, content: 'c'...
2025-08-23 14:51:11,820 - INFO - [20250823_145036_101] Streaming chunk 650, content: 'e'...
2025-08-23 14:51:13,067 - INFO - [20250823_145036_101] Streaming chunk 660, content: '7'...
2025-08-23 14:51:14,333 - INFO - [20250823_145036_101] Streaming chunk 670, content: 'g'...
2025-08-23 14:51:14,839 - INFO - [20250823_145036_101] Streaming chunk 680, content: 'i'...
2025-08-23 14:51:15,088 - INFO - [20250823_145036_101] Streaming chunk 690, content: 'i'...
2025-08-23 14:51:15,837 - INFO - [20250823_145036_101] Streaming chunk 700, content: 'I'...
2025-08-23 14:51:16,343 - INFO - [20250823_145036_101] Streaming chunk 710, content: 'r'...
2025-08-23 14:51:16,853 - INFO - [20250823_145036_101] Streaming chunk 720, content: 'o'...
2025-08-23 14:51:17,357 - INFO - [20250823_145036_101] Streaming chunk 730, content: 't'...
2025-08-23 14:51:17,863 - INFO - [20250823_145036_101] Streaming chunk 740, content: 'e'...
2025-08-23 14:51:18,365 - INFO - [20250823_145036_101] Streaming chunk 750, content: 'r'...
2025-08-23 14:51:18,867 - INFO - [20250823_145036_101] Streaming chunk 760, content: ' '...
2025-08-23 14:51:19,130 - INFO - [20250823_145036_101] Streaming chunk 770, content: 't'...
2025-08-23 14:51:19,629 - INFO - [20250823_145036_101] Streaming chunk 780, content: 'e'...
2025-08-23 14:51:20,635 - INFO - [20250823_145036_101] Streaming chunk 790, content: 'l'...
2025-08-23 14:51:21,140 - INFO - [20250823_145036_101] Streaming chunk 800, content: 'e'...
2025-08-23 14:51:21,652 - INFO - [20250823_145036_101] Streaming chunk 810, content: 'c'...
2025-08-23 14:51:22,146 - INFO - [20250823_145036_101] Streaming chunk 820, content: ' '...
2025-08-23 14:51:22,400 - INFO - [20250823_145036_101] Streaming chunk 830, content: 't'...
